Gender,Major,Minor,Ethnic,Orientation,MotherEdu,FatherEdu,Year,International,Country,Transfer,EFL,FirstGen,STEM,GPA,HighGPA,SameEthnic,OtherEthnic,Q2.1,Q2.2,Q2.3,Q2.4,Q2.5,Q3.1,Q3.2,Q3.3,Q3.4,Q3.5,Q3.6,Q3.7,Q3.8,Q3.9,Q3.10,Q3.11,Q3.12,Q3.13,Q3.14,Q3.15,Q3.16,Q3.17,Q3.18,Q3.19,Q3.20,Q3.21,Q3.22,Q3.23,Q3.24,HelpFactor,InhibitFactor,FamilyValue,Academic,SES,Belonging,Stress,Exclusion
Female,Statistics,Education,Latino/Hispanic,Heterosexual,High school or less,High school or less,Senior,No,,No,No,Yes,Yes,3.188,4.5,10,10,Sometimes,Sometimes,Always,Sometimes,Never,Not Sure,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Not Sure,Not Sure,Agree,Strongly Disagree,Disagree,Agree,Disagree,Disagree,Agree,Strongly Agree,Agree,Not Sure,Agree,Agree,Agree,Agree,Agree,"I think some of my friends, family, and my self-drive are what have helped me succeed at UCLA. ",I think one of my biggest inhibitors of my success has been dealing with my anxiety.,Average Value,40.6,100,58.3,31.3,83.3
Female,Statistics,,Asian,Bisexual,Four-year College,Four-year College,Senior,Yes,"Hong Kong, China",Yes,No,No,Yes,3.67,4,80,20,Often,Often,Always,Rarely,Rarely,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Not Sure,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Not Sure,Agree,Agree,Agree,Not Sure,Not Sure,Agree,Strongly Agree,Strongly Agree,Not Sure,Agree,Agree,Friends. We will help each other if anyone encounters difficulties.,Language and culture. Sometimes it's too confusing to understand what professor is saying.,High Value,56.3,0,38.9,87.5,58.3
Female,Statistics,,Asian,Heterosexual,Four-year College,Four-year College,Senior,Yes,Chin,Yes,No,No,Yes,3.92,3.95,30,20,Sometimes,Never,Always,Often,Often,Not Sure,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Not Sure,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Friendly environment, advanced academic resources, etc.","Good habits, outgoing character, open mindset, etc. ",High Value,96.9,0,94.4,6.3,0
Female,Statistics,,Asian,Heterosexual,Four-year College,Four-year College,Senior,Yes,South Korea,Yes,No,No,Yes,3.6,3.8,10,30,Sometimes,Often,Always,Rarely,Rarely,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Not Sure,Agree,Strongly Disagree,Not Sure,Agree,Agree,Agree,Not Sure,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Not Sure,Disagree,Luckily I was able to make friends in my major during orientation which I now consult with about jobs and classes. I got stuck with them for a year and it has facilitated the process of succeeding in my classes. Joining clubs also helped me to find people like me.,"Being a transfer inhibited my success because the level of classes got a lot more difficult and I didn't have much information about resources regarding internships, jobs, etc. and how to prepare for them. I feel behind most students in my major because of this. ",High Value,56.3,91.7,58.3,37.5,66.7
Female,Statistics,,Asian,Heterosexual,High school or less,High school or less,Senior,Yes,China,Yes,No,Yes,Yes,2.97,3.89,10,2,Sometimes,Often,Always,Rarely,Sometimes,Not Sure,Not Sure,Disagree,Not Sure,Disagree,Agree,Not Sure,Agree,Agree,Agree,Not Sure,Not Sure,Not Sure,Agree,Agree,Not Sure,Disagree,Not Sure,Not Sure,Agree,Agree,Not Sure,Not Sure,Disagree,"The faultiest are nice and wish to help, my friends help me a lot and most of the professors are willing to help us success. ","I guess myself inhibited my success at UCLA, since I am not confident to join a club that I interested, and I need my friends accompanying, otherwise, I would feel lonely. Most of time, I am easy to be distracted by other things and hard to focus on my assignments. ",Average Value,46.9,50,50,56.3,41.7
Female,Statistics,,Asian,Heterosexual,Graduate or Professional Degree,Graduate or Professional Degree,Senior,Yes,China,No,No,No,Yes,3.85,3.8,10,0,Sometimes,Sometimes,Always,Always,Sometimes,Agree,Agree,Disagree,Disagree,Disagree,Not Sure,Agree,Not Sure,Not Sure,Agree,Not Sure,Not Sure,Agree,Agree,Agree,Disagree,Disagree,Not Sure,Agree,Not Sure,Agree,Agree,Agree,Agree,"I have to say that my pre-college education prepared me a lot to succeed academically in UCLA. Because I received relatively intense math training back in China, I can handle/manage to handle most of the STEM materials in college. Many people think that STEM students are smart, but from my own experience I would say that all my success, if any, are own to practice or training that cumulated since I was very young. ","The most significant difficulty that comes to me is to figure out what I want to do after college. UCLA is such a huge school and it can be hard for freshmen to connect with seniors or others to seek help about future plans. For my first two years at UCLA, I was very lost and felt like there were only things that I didn't want to do. It is very hard to achieve anything when you don't even know what you want to achieve. Although through later exploration and by luck I was able to figure out my goal, it could have been so much easier if I was able to do so at an earlier time.",Average Value,62.5,33.3,61.1,50,33.3
Male,Stats,,Asian,Heterosexual,High school or less,Two-year College,Senior,Yes,China,Yes,No,No,Yes,3.5,4,10,5,Often,Sometimes,Always,Sometimes,Sometimes,Strongly Agree,Agree,Not Sure,Not Sure,Strongly Disagree,Strongly Disagree,Not Sure,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Definitely parental support. Without them it'd be possible.,Definitely parental support. Without them it'd be possible.,High Value,90.6,16.7,86.1,0,25
Female,Statistics,,biracial,Heterosexual,Graduate or Professional Degree,,Senior,No,,No,Yes,No,Yes,3.3,3,3,20,Sometimes,Rarely,Always,Always,Sometimes,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Not Sure,Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Not Sure,,Strongly Agree,Agree,Disagree,Strongly Agree,Having a support group in my friends has helped me immensely.,"Sometimes when I go to office hours, I'm scared to explain what I don't know to my professor in fear of being mocked or shamed for being behind. Thus, when I feel I am starting to get behind, it's just exponential because I'm too afraid to ask. Some professors I have had are impossible to keep up with and if you can't, they make you feel like you're too dumb to be in the major. I got a C in a lower division math pre-req for the Stats major(I had already taken a few upper division Stat classes averaging B grades) and I sought the Stats Academic counselor Lori. She told me that Statistics might not be the best major for me and told me to ""consider"" and easier major that had less math. I didn't-I'm graduating in Spring with at Stats degree.",NA,43.8,100,61.1,56.3,58.3
Female,Statistics,,Asian,Heterosexual,Graduate or Professional Degree,Graduate or Professional Degree,Junior,No,,No,Yes,No,Yes,3.99,4.3,10,20,Sometimes,Sometimes,Always,Rarely,Sometimes,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Not Sure,Disagree,Not Sure,Disagree,Strongly Agree,Agree,Disagree,Not Sure,Agree,Agree,Disagree,Strongly Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"I think my primary education played a huge role in my success academically at UCLA. I come from a very wealthy, predominantly white school in Michigan, and it was one of the best public schools in the state. Thus, the teachers were really great due to how much money our school district had. My school offered many AP courses, so I was able to take many difficult and challenging classes that pushed me to improve my critical thinking skills, studying habits, and more. I honestly feel as though my high school was much harder than college, as I had hours and hours of homework every night, and I studied way more in high school.","Although transitioning from high school to college was a breeze in terms of academics, I had a much harder time developing a social life at UCLA. My entire first quarter my freshman year, I had no friends and was very homesick and depressed. I actually wanted to drop out of UCLA and move back home, and I felt like I made a horrible decision in going to what I thought was my ""dream school."" I feel as though it was because the town I was from in Michigan was very small, and everyone from my high school had their own small ""bubble"" that we stayed in for all K-12 years of schooling. I went to school with the same exact people for 13 years, so it was really hard for me to move away from this tight-knit community to an institution that is 10x the size. Eventually, though, I made more friends in one of the clubs I had been in since my first month of college, and from that, I was able to develop more social skills and pushed myself to make more friends in classes and other clubs.",Average Value,65.6,16.7,75,62.5,33.3
Female,Statistics,,Asian,Heterosexual,Four-year College,Four-year College,Senior,Yes,China,No,No,No,Yes,3.89,4,20,3,Often,Sometimes,Always,Sometimes,Sometimes,Agree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Agree,Not Sure,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Not Sure,Not Sure,Not Sure,To be not procrastinate is really important in finishing tasks no matter academically or socially.,procrastination sometimes inhibits my success and ruins my emotions,Average Value,53.1,25,47.2,50,58.3
